mmsi,dt,status,vesseltype,sog_mean,sog_min,sog_max,sog_std,count,length,width,draft,vessel,autoencode_loss
43676060,2015-01-25 10:00:00,under way using engine,0,6.631818181818184,6.3,7.4,0.16812609784924137,44,32.0,9.0,4.0,na,0.1604810655117035
43676060,2015-01-25 11:00:00,under way using engine,0,7.507843137254905,7.1,7.8,0.1683367306976132,51,32.0,9.0,4.0,na,0.1752505898475647
43676060,2015-01-25 12:00:00,under way using engine,0,5.496226415094339,3.4,8.0,1.7545503767841606,53,32.0,9.0,4.0,na,0.18903577327728271
43676060,2015-01-25 13:00:00,under way using engine,0,3.026923076923077,2.2,3.7,0.45594778881323716,52,32.0,9.0,4.0,na,0.19641372561454773
43676060,2015-01-25 14:00:00,under way using engine,0,3.036000000000001,2.1,6.6,1.4611653163255183,50,32.0,9.0,4.0,na,0.18395160138607025
43676060,2016-01-19 22:00:00,under way using engine,0,8.360000000000003,8.1,8.6,0.1302517456365914,30,32.0,9.0,4.0,na,0.1643407791852951
43676060,2016-01-25 08:00:00,engaged in fishing,0,6.915789473684209,6.6,7.3,0.203478521647691,19,32.0,9.0,4.0,na,0.2417595535516739
43676060,2016-01-25 09:00:00,engaged in fishing,0,7.057692307692308,6.6,7.4,0.17750576223306852,52,32.0,9.0,4.0,na,0.32109567523002625
43676060,2016-01-25 10:00:00,engaged in fishing,0,7.068,6.5,7.3,0.19106575425486266,50,32.0,9.0,4.0,na,0.37493985891342163
43676060,2016-01-25 11:00:00,engaged in fishing,0,6.8830188679245285,0.3,8.6,2.341575394165268,53,32.0,9.0,4.0,na,0.3480299115180969
43676060,2016-01-25 12:00:00,engaged in fishing,0,0.00576923076923077,0.0,0.2,0.030764516984328468,52,32.0,9.0,4.0,na,0.2380256950855255
43676060,2016-01-25 17:00:00,engaged in fishing,0,1.3830188679245285,0.0,8.4,2.9805611145100617,53,32.0,9.0,4.0,na,0.15198777616024017
210279000,2016-01-18 12:00:00,under way using engine,1004,12.149999999999999,12.0,12.2,0.09999999999999974,4,186.96,28.6,10.4,cargo,0.16640765964984894
210581000,2017-01-19 02:00:00,under way using engine,1004,12.8,12.8,12.8,0.0,1,229.0,32.3,14.6,cargo,0.16462011635303497
211343310,2016-01-17 03:00:00,under way using engine,79,17.5,17.0,18.4,0.7810249675906642,3,278.0,40.0,11.300000000000002,cargo,0.15910378098487854
211343310,2016-01-17 04:00:00,under way using engine,79,18.25,18.2,18.3,0.07071067811865576,2,278.0,40.0,11.3,cargo,0.1661088913679123
211343310,2016-01-17 07:00:00,under way using engine,79,19.333333333333332,19.3,19.4,0.05773502691896288,3,278.0,40.0,11.300000000000002,cargo,0.15841151773929596
215381000,2016-01-12 06:00:00,under way using engine,1004,18.5025641025641,17.1,19.1,0.575594511644576,39,222.54000000000002,32.32000000000001,12.0,cargo,0.16466949880123138
215381000,2016-01-12 07:00:00,under way using engine,1004,17.438,15.8,18.9,1.054608932258781,50,222.54000000000022,32.31999999999999,12.0,cargo,0.20961704850196838
215381000,2016-01-12 08:00:00,under way using engine,1004,18.43529411764706,17.9,19.1,0.3051711188246785,51,222.54000000000022,32.31999999999999,12.0,cargo,0.24279411137104034
215381000,2016-01-12 09:00:00,under way using engine,1004,18.846874999999994,18.5,19.2,0.23689438915454142,32,222.54,32.32000000000002,12.0,cargo,0.23960676789283752
215381000,2016-01-12 10:00:00,under way using engine,1004,20.516666666666666,19.2,20.9,0.5791047563615576,24,222.54,32.320000000000014,12.0,cargo,0.19560691714286804
220397000,2016-01-29 06:00:00,under way using engine,1004,14.5,13.8,14.9,0.35531676008879737,33,367.2800000000001,42.799999999999976,15.0,cargo,0.15193480253219604
220397000,2016-01-29 07:00:00,under way using engine,1004,14.243181818181817,13.0,14.8,0.38783701160243894,44,367.28000000000026,42.79999999999997,15.0,cargo,0.1794283539056778
220397000,2016-01-29 08:00:00,under way using engine,1004,13.852272727272725,12.7,15.2,0.9404325171105584,44,367.28000000000026,42.79999999999997,15.0,cargo,0.18703734874725342
220397000,2016-01-29 09:00:00,under way using engine,1004,14.338181818181818,14.0,15.3,0.3363700063096903,55,367.28,42.8,15.0,cargo,0.1650380790233612
229658000,2017-01-24 19:00:00,under way using engine,1004,11.090322580645163,10.5,11.6,0.30806367167592513,31,229.19999999999987,38.0,14.899999999999991,cargo,0.1696198433637619
