 0.05	1	1	["40391"]
 0.37	859	3	["25867","27540","879"]
 0.84	376	3	["14069","3674","40485"]
 1.06	944	10	["2221","2222","24282","30797","3291","41581","41588","41589","41748","41793"]
 1.21	4	3	["41945","41946","42709"]
 1.38	1	1	["41866"]
 1.53	299	3	["15199","40940","41793"]
 1.85	2212	10	["19802","25788","32989","40128","40129","40184","41241","41592","41747","42965"]
 2.07	2189	21	["19810","22017","24960","28163","28379","28563","35560","36593","37827","39158","39238","40176","40779","40847","40862","40869","41035","41330","42916","42940","8701"]
 2.22	6877	40	["10025","10779","10976","11079","12363","21394","22089","24675","24960","25538","26683","26722","27462","27649","27717","27826","28163","28164","33548","33557","33558","33561","33571","34180","38088","39158","39350","40159","40207","40776","40822","40824","40825","40830","40939","41022","41308","42488","6058","8840"]
 2.39	3026	49	["11057","15836","16295","18953","21777","24960","26728","28163","28243","28562","33276","33462","34780","35757","36583","36746","37266","37777","38742","38780","39218","39235","39377","40175","40268","40334","40347","40615","40616","40618","40666","40735","40877","40881","40893","40943","41031","41104","41195","41435","41472","41587","41726","41730","41753","41837","41870","41883","41912"]
 2.54	1224	32	["26696","26867","27722","28163","28839","29532","32295","32769","33113","36518","37394","39347","39377","40108","40347","40616","40666","40735","40877","40881","40943","41031","41116","41195","41472","41587","41753","41870","41896","41906","42748","7400"]
 2.86	2326	33	["19219","21592","21640","23732","23867","24712","24960","26867","27031","27500","28645","32730","35555","37607","38015","38673","39037","39081","39482","39511","39988","40108","40149","40274","40616","40666","40943","41116","41472","41753","41839","42748","5987"]
 3.08	1843	38	["17425","23125","23523","23538","24960","25024","25026","26867","29165","33155","34184","35549","36034","37607","38015","38595","38598","38604","38642","39037","39081","39236","39377","39482","39511","39619","39995","40274","40335","40616","40943","41195","41796","41839","41912","42748","5975","7382"]
 3.23	1073	30	["21818","23126","23538","25461","27684","28155","30324","33155","33415","33461","36747","37235","37778","38015","38575","38585","38617","38625","38649","39236","40108","40149","40274","40335","40616","40943","41195","41726","41839","7382"]
